# angle_deg distance_mm
276.625 1891.500
280.188 931.000
281.547 940.250
282.875 963.000
286.109 791.750
287.531 786.500
313.047 203.000
313.766 201.000
334.578 558.750
335.969 557.750
337.297 556.500
340.828 2726.000
342.250 2721.250
346.656 1861.500
348.062 1826.500
349.484 1803.000
350.844 1783.500
352.250 1766.250
353.656 1744.250
355.109 1721.250
356.453 1737.750
8.859 2208.750
10.266 2195.750
11.672 2193.500
17.297 2178.000
18.656 2176.250
20.094 2177.500
21.469 2179.500
22.875 2180.250
24.297 2181.750
28.469 2191.000
29.844 2198.500
31.266 2209.750
32.656 2222.500
34.031 2238.000
35.516 2256.750
36.906 2275.750
38.297 2292.500
39.703 2309.500
41.094 2333.000
42.484 2362.750
43.859 2388.000
47.250 1229.750
48.672 1225.500
50.016 1227.250
51.438 1228.500
52.859 1230.750
54.250 1243.000
57.500 896.250
58.969 888.250
60.250 888.500
61.594 899.500
82.250 587.500
83.719 577.500
84.875 569.250
86.453 563.500
87.969 559.250
89.344 555.750
90.672 553.500
92.016 552.500
93.328 553.000
94.969 554.750
101.812 580.000
103.031 590.000
104.344 604.750
122.078 2617.500
123.484 2648.500
146.094 1638.750
175.078 229.000
237.375 137.000
266.891 482.000
268.188 486.000
269.359 491.750
275.750 1907.500
277.141 1884.750
280.641 929.000
285.141 807.250
286.609 784.750
288.031 784.500
295.172 2243.250
312.094 204.750
313.484 202.250
334.844 558.250
336.250 557.000
341.188 2723.500
342.578 2722.750
347.047 1849.250
348.484 1820.750
349.828 1798.750
351.297 1778.750
352.672 1757.250
354.125 1734.500
355.500 1715.250
6.500 2221.750
9.266 2203.500
12.125 2189.000
13.547 2182.250
16.312 2180.000
17.734 2179.000
19.156 2176.500
20.547 2176.250
21.938 2178.500
23.328 2180.250
24.734 2182.000
28.922 2193.000
30.328 2201.750
31.719 2214.500
33.141 2229.000
34.516 2245.250
35.938 2264.250
37.297 2281.250
38.719 2297.750
40.094 2316.500
41.516 2340.750
42.906 2368.750
44.281 2393.500
47.641 1231.250
49.062 1222.500
50.500 1222.750
51.891 1225.750
53.297 1235.750
54.625 1249.500
57.922 891.750
59.281 887.250
60.781 890.250
81.109 596.000
82.781 583.250
84.016 574.750
85.406 567.000
